^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^BB^|^524114^|^133^|^A^|^0^|^0^|^^|^0^|^^|^^|^^|^1^|^Layanan Dukungan Sekretaris Utama^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^1^|^PKT^|^90000000^|^90000000^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^2700000^|^4500000^|^6300000^|^7200000^|^7200000^|^8100000^|^9000000^|^9000000^|^9000000^|^9000000^|^9000000^|^9000000^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^BB^|^524119^|^133^|^A^|^0^|^0^|^^|^0^|^^|^^|^^|^1^|^Layanan Dukungan Kepala BPKP^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^1^|^PKT^|^51000000^|^51000000^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^1530000^|^2550000^|^3570000^|^4080000^|^4080000^|^4590000^|^5100000^|^5100000^|^5100000^|^5100000^|^5100000^|^5100000^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^CA^|^524111^|^133^|^A^|^0^|^0^|^^|^0^|^01^|^^|^1^|^1^|^Perencanaan^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^0^|^0^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^CA^|^524111^|^133^|^A^|^0^|^0^|^^|^0^|^01^|^^|^^|^2^|^Perencanaan dan Penyusunan RKT Deputi 1^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^3^|^KEG^|^8190000^|^24570000^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^737100^|^1228500^|^1719900^|^1965600^|^1965600^|^2211300^|^2457000^|^2457000^|^2457000^|^2457000^|^2457000^|^2457000^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^CA^|^524111^|^133^|^A^|^0^|^0^|^^|^0^|^01^|^01^|^2^|^3^|^Evaluasi^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^0^|^0^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^CA^|^524111^|^133^|^A^|^0^|^0^|^^|^0^|^01^|^01^|^^|^4^|^Evaluasi dan Revisi RKT Deputi 1^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^2^|^KEG^|^8190000^|^16380000^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^491400^|^819000^|^1146600^|^1310400^|^1310400^|^1474200^|^1638000^|^1638000^|^1638000^|^1638000^|^1638000^|^1638000^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^CB^|^524111^|^133^|^A^|^0^|^0^|^^|^0^|^01^|^^|^1^|^1^|^Penyusunan dan Revisi Anggaran^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^0^|^0^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^CB^|^524111^|^133^|^A^|^0^|^0^|^^|^0^|^01^|^^|^^|^2^|^Penyusunan, Revisi dan Review RKAKL^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^6^|^KEG^|^21840000^|^131040000^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^3931200^|^6552000^|^9172800^|^10483200^|^10483200^|^11793600^|^13104000^|^13104000^|^13104000^|^13104000^|^13104000^|^13104000^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^CB^|^524111^|^133^|^A^|^0^|^0^|^^|^0^|^01^|^01^|^2^|^3^|^Rekonsiliasi dan Evaluasi^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^0^|^0^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^002^|^CB^|^524111^|^133^|^A^|^0^|^0^|^^|^0^|^01^|^01^|^^|^4^|^Rekonsiliasi dan Evaluasi Pengelolaan Keuangan^|^0^|^^|^0^|^^|^0^|^^|^0^|^^|^4^|^KEG^|^21840000^|^87360000^|^^|^0^|^0^|^0^|^^|^0^|^0^|^0^|^0^|^^|^^|^^|^0^|^0^|^^|^^|^^|^0^|^2620800^|^4368000^|^6115200^|^6988800^|^6988800^|^7862400^|^8736000^|^8736000^|^8736000^|^8736000^|^8736000^|^8736000^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^|^^
