^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^1^|^7225000000^|^1^|^52^|^216750000^|^361250000^|^505750000^|^578000000^|^578000000^|^650250000^|^722500000^|^722500000^|^722500000^|^722500000^|^722500000^|^722500000^|^3^|^5^|^7^|^8^|^8^|^9^|^10^|^10^|^10^|^10^|^10^|^10^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4225^|^1^|^2529100000^|^1^|^52^|^78499999^|^144999999^|^199999998^|^194999997^|^199999998^|^244999997^|^244999997^|^244999997^|^324249999^|^310899999^|^229100000^|^111350020^|^3.1^|^5.73^|^7.91^|^7.71^|^7.91^|^9.69^|^9.69^|^9.69^|^12.82^|^12.29^|^9.06^|^4.4^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3667^|^1^|^338891999000^|^1^|^51^|^9115000^|^9115000^|^9115000^|^9115000^|^9115000^|^9115000^|^9115000^|^9115000^|^9115000^|^9115000^|^9115000^|^338791734000^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^0^|^99.97^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4224^|^1^|^2090310000^|^1^|^52^|^88651999^|^260440000^|^243479999^|^157720000^|^153920000^|^200000000^|^217800000^|^160280000^|^225870000^|^236799999^|^145348003^|^0^|^4.24^|^12.46^|^11.65^|^7.55^|^7.36^|^9.57^|^10.42^|^7.67^|^10.81^|^11.33^|^6.95^|^0^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^0^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4221^|^1^|^1243620000^|^1^|^52^|^84541245^|^103127796^|^127505522^|^86707546^|^104093725^|^111570219^|^100526688^|^115887577^|^129439114^|^89238119^|^83168888^|^107813561^|^6.8^|^8.29^|^10.25^|^6.97^|^8.37^|^8.97^|^8.08^|^9.32^|^10.41^|^7.18^|^6.69^|^8.67^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4219^|^1^|^2125100000^|^1^|^52^|^63753000^|^106255000^|^148757000^|^170008000^|^170008000^|^191259000^|^212510000^|^212510000^|^212510000^|^212510000^|^212510000^|^212510000^|^3^|^5^|^7^|^8^|^8^|^9^|^10^|^10^|^10^|^10^|^10^|^10^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3665^|^1^|^2022670000^|^1^|^52^|^22717745^|^74467872^|^128493318^|^156329311^|^86705261^|^134696634^|^123733446^|^115951746^|^173071178^|^168189574^|^123294043^|^715019872^|^1.12^|^3.68^|^6.35^|^7.73^|^4.29^|^6.66^|^6.12^|^5.73^|^8.56^|^8.32^|^6.1^|^35.35^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4207^|^1^|^4511940000^|^1^|^52^|^375981000^|^375981000^|^375981000^|^375981000^|^375981000^|^375981000^|^375981000^|^375981000^|^375981000^|^375981000^|^375981000^|^376149000^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.33^|^8.34^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4227^|^1^|^1525680000^|^1^|^52^|^115134000^|^115134000^|^133139000^|^133139000^|^133139000^|^133139000^|^133139000^|^133139000^|^133139000^|^133139000^|^115134000^|^115166000^|^7.55^|^7.55^|^8.73^|^8.73^|^8.73^|^8.73^|^8.73^|^8.73^|^8.73^|^8.73^|^7.55^|^7.55^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3668^|^1^|^2322990000^|^1^|^52^|^37673000^|^136743000^|^213597500^|^224361500^|^181198500^|^299743500^|^258821500^|^173759500^|^184189500^|^157539500^|^324611500^|^130751500^|^1.62^|^5.89^|^9.19^|^9.66^|^7.8^|^12.9^|^11.14^|^7.48^|^7.93^|^6.78^|^13.97^|^5.63^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^1^|^^|^^|^^|^^|^^|^^|^^|^^
